epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.375,1.76455,1.51298,1.41226,0.59009,0.51904,0.51891,0.31502,1.38136,1.6376,1.43831,0.0670236,0.000333095,0.000333095
2,1163.92,1.68393,1.36056,1.39004,0.68743,0.59603,0.65107,0.4038,1.25158,1.1397,1.27529,0.0340234,0.00066628,0.00066628
3,1751.42,1.63374,1.27918,1.36204,0.71598,0.64626,0.69939,0.46207,1.11378,0.92283,1.17294,0.0010227,0.000998874,0.000998874
4,2330.29,1.56988,1.19635,1.32718,0.7386,0.65462,0.72685,0.49192,1.0584,0.89724,1.1427,0.000998003,0.000998003,0.000998003
5,2904.32,1.53125,1.13495,1.308,0.79403,0.6802,0.75879,0.5161,1.02389,0.89235,1.10969,0.000996452,0.000996452,0.000996452
6,3461.86,1.47783,1.08337,1.27639,0.80454,0.69439,0.77666,0.53422,0.97909,0.79112,1.09037,0.00099446,0.00099446,0.00099446
7,4022.83,1.44861,1.0444,1.26319,0.80427,0.71949,0.79833,0.55332,0.95267,0.7449,1.07746,0.000992029,0.000992029,0.000992029
8,4571.23,1.43397,1.01563,1.25108,0.83693,0.71627,0.81305,0.57197,0.93626,0.69918,1.06746,0.000989163,0.000989163,0.000989163
9,5257.44,1.41479,1.00002,1.24477,0.81702,0.7183,0.80849,0.57686,0.92864,0.69576,1.06212,0.000985862,0.000985862,0.000985862
10,5848.52,1.39567,0.97939,1.23606,0.82125,0.7469,0.82669,0.58985,0.916,0.67925,1.06158,0.000982132,0.000982132,0.000982132
11,6424.29,1.38552,0.95053,1.22767,0.82523,0.74167,0.82504,0.59049,0.90903,0.64828,1.05369,0.000977975,0.000977975,0.000977975
12,6999.49,1.36213,0.93205,1.21811,0.84831,0.75534,0.84004,0.60499,0.9058,0.6318,1.05169,0.000973396,0.000973396,0.000973396
13,7574.87,1.35081,0.92411,1.21899,0.85274,0.76241,0.84664,0.61224,0.87411,0.60928,1.0261,0.000968399,0.000968399,0.000968399
14,8150.18,1.35169,0.91417,1.20754,0.84808,0.77038,0.8568,0.61805,0.86363,0.60466,1.02285,0.00096299,0.00096299,0.00096299
15,8725.14,1.33804,0.90748,1.2043,0.83691,0.77337,0.85183,0.62075,0.86183,0.58913,1.01916,0.000957172,0.000957172,0.000957172
16,9299.78,1.32374,0.89192,1.1985,0.84833,0.78227,0.85892,0.62539,0.86234,0.58416,1.02582,0.000950953,0.000950953,0.000950953
17,9874.99,1.31707,0.88269,1.19404,0.86175,0.77817,0.86126,0.63041,0.84856,0.5673,1.01773,0.000944338,0.000944338,0.000944338
18,10450,1.31365,0.87258,1.19136,0.86183,0.7828,0.86842,0.63592,0.84745,0.56164,1.02165,0.000937334,0.000937334,0.000937334
19,11013.5,1.30342,0.85656,1.18674,0.85406,0.79255,0.8688,0.64188,0.82895,0.55478,1.00681,0.000929948,0.000929948,0.000929948
20,11656.5,1.30083,0.85442,1.18223,0.87108,0.79034,0.87221,0.64531,0.82389,0.53688,1.00245,0.000922186,0.000922186,0.000922186
21,12243.3,1.28181,0.83969,1.17529,0.8688,0.79423,0.87683,0.64948,0.82374,0.53227,0.99833,0.000914058,0.000914058,0.000914058
22,12791.2,1.28252,0.83513,1.17285,0.87146,0.79333,0.87413,0.64836,0.8176,0.53469,0.99387,0.00090557,0.00090557,0.00090557
23,13357.5,1.26994,0.82394,1.16771,0.86344,0.80293,0.87942,0.65558,0.81424,0.52391,1.00332,0.000896731,0.000896731,0.000896731
24,13925.5,1.25838,0.80357,1.16251,0.87551,0.79484,0.87745,0.65341,0.81048,0.51585,0.99273,0.00088755,0.00088755,0.00088755
25,14482.2,1.25786,0.80612,1.15672,0.87482,0.80093,0.8815,0.65931,0.80121,0.51215,0.99143,0.000878036,0.000878036,0.000878036
