epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1320.57,1.77812,2.10435,1.61712,0.31504,0.15998,0.11988,0.06203,1.679,2.48429,1.79821,0.0670111,0.000333221,0.000333221
2,2496.96,1.70134,1.88354,1.57739,0.30487,0.37859,0.30738,0.1687,1.32364,1.51969,1.46408,0.0340109,0.000666407,0.000666407
3,3637.05,1.62837,1.71078,1.51629,0.52534,0.47814,0.48038,0.26072,1.24824,1.28852,1.38028,0.0010102,0.000999,0.000999
4,4769.23,1.56483,1.58642,1.48186,0.54853,0.53337,0.53024,0.28783,1.20073,1.17577,1.35765,0.000998003,0.000998003,0.000998003
5,5986.29,1.52845,1.49244,1.45181,0.61366,0.52956,0.58016,0.33395,1.15188,1.06688,1.3198,0.000996452,0.000996452,0.000996452
6,7176.92,1.49086,1.4266,1.43197,0.61256,0.5598,0.60294,0.34994,1.12756,1.0207,1.30178,0.00099446,0.00099446,0.00099446
7,8359.55,1.46556,1.3787,1.41674,0.63937,0.6071,0.6366,0.36725,1.10355,0.97628,1.28904,0.000992029,0.000992029,0.000992029
8,9552.94,1.43576,1.33025,1.39397,0.67996,0.60093,0.6651,0.38927,1.07521,0.94022,1.26457,0.000989163,0.000989163,0.000989163
9,10757,1.41787,1.28832,1.38286,0.6403,0.63595,0.67543,0.40193,1.06338,0.89172,1.25872,0.000985862,0.000985862,0.000985862
10,11961.7,1.40263,1.25425,1.36992,0.65272,0.64595,0.70535,0.42676,1.04071,0.86029,1.24394,0.000982132,0.000982132,0.000982132
11,13161.7,1.39077,1.22404,1.36131,0.67432,0.64813,0.70822,0.42637,1.0403,0.82443,1.24646,0.000977975,0.000977975,0.000977975
12,14377.7,1.37073,1.19783,1.3528,0.77397,0.63308,0.74039,0.44109,1.02925,0.79381,1.23434,0.000973396,0.000973396,0.000973396
13,15600.5,1.36784,1.18987,1.35264,0.70408,0.68692,0.73822,0.45683,1.00867,0.79087,1.22173,0.000968399,0.000968399,0.000968399
14,16861.1,1.35354,1.16392,1.34051,0.76457,0.66701,0.75027,0.46319,0.99901,0.76649,1.22098,0.00096299,0.00096299,0.00096299
15,18151.5,1.3435,1.1357,1.33342,0.75689,0.67879,0.76403,0.47423,0.99644,0.74557,1.21082,0.000957172,0.000957172,0.000957172
16,19371.3,1.33107,1.1211,1.32815,0.73922,0.67307,0.75624,0.47144,0.98916,0.74317,1.20802,0.000950953,0.000950953,0.000950953
17,20562.3,1.3156,1.09962,1.32239,0.767,0.69863,0.77463,0.48493,0.97796,0.7206,1.20507,0.000944338,0.000944338,0.000944338
18,21779.5,1.30996,1.08731,1.31484,0.76042,0.71943,0.78383,0.48655,0.97001,0.71403,1.20004,0.000937334,0.000937334,0.000937334
19,22976.4,1.30009,1.06753,1.30966,0.78102,0.72623,0.78861,0.49565,0.96813,0.69677,1.19561,0.000929948,0.000929948,0.000929948
20,24153.8,1.29696,1.05198,1.30196,0.79236,0.72033,0.79785,0.50021,0.96574,0.6914,1.19813,0.000922186,0.000922186,0.000922186
21,25312.8,1.28798,1.03088,1.29488,0.77727,0.73824,0.80498,0.5064,0.95561,0.67933,1.18847,0.000914058,0.000914058,0.000914058
22,26481.5,1.27499,1.02479,1.29825,0.77508,0.74316,0.80002,0.51032,0.95075,0.66744,1.18517,0.00090557,0.00090557,0.00090557
23,27705.2,1.26778,1.01055,1.28708,0.79847,0.71625,0.79906,0.50819,0.95072,0.66328,1.18611,0.000896731,0.000896731,0.000896731
24,28866.6,1.25807,0.99448,1.28525,0.8088,0.69868,0.80197,0.5156,0.94365,0.65513,1.17953,0.00088755,0.00088755,0.00088755
25,30036.7,1.25818,0.98677,1.27903,0.79042,0.74292,0.81117,0.51452,0.94513,0.65068,1.18052,0.000878036,0.000878036,0.000878036
26,31234.6,1.25132,0.97921,1.28058,0.78875,0.74903,0.81183,0.51505,0.9427,0.64273,1.1784,0.000868198,0.000868198,0.000868198
27,32440.4,1.23966,0.96135,1.26684,0.79948,0.72994,0.81686,0.52073,0.93564,0.64039,1.1734,0.000858046,0.000858046,0.000858046
28,33647.6,1.23045,0.94793,1.26323,0.8144,0.72706,0.81212,0.5204,0.934,0.635,1.17274,0.00084759,0.00084759,0.00084759
29,34849.5,1.21313,0.93135,1.25625,0.78854,0.74616,0.81419,0.52351,0.92861,0.63353,1.17082,0.000836841,0.000836841,0.000836841
30,36047.2,1.20739,0.92399,1.24853,0.80459,0.75325,0.81603,0.52129,0.92878,0.62858,1.17189,0.000825808,0.000825808,0.000825808
31,37238.3,1.20726,0.91562,1.24372,0.79751,0.75557,0.81502,0.52193,0.92886,0.62396,1.1736,0.000814503,0.000814503,0.000814503
