epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.812,1.73779,3.27532,2.00489,0.22799,0.21227,0.05645,0.0197,2.07545,5.66088,2.41687,0.0670209,0.000333122,0.000333122
2,1401.19,1.67499,3.07299,1.95486,0.39523,0.26455,0.17067,0.07115,1.89825,2.74997,2.2302,0.0340208,0.000666307,0.000666307
3,2029.81,1.60108,2.87197,1.88012,0.21692,0.35078,0.21997,0.08397,1.93505,2.66302,2.20466,0.00102002,0.000998901,0.000998901
4,2656.11,1.5542,2.73009,1.82843,0.40743,0.44415,0.38154,0.18143,1.69257,2.25547,1.96395,0.000998003,0.000998003,0.000998003
5,3291.51,1.49966,2.56657,1.78584,0.39769,0.4778,0.43636,0.21095,1.65744,2.09244,1.92481,0.000996452,0.000996452,0.000996452
6,3903.37,1.48868,2.48728,1.77196,0.53924,0.4743,0.49052,0.23751,1.68401,2.11929,1.93471,0.00099446,0.00099446,0.00099446
7,4528.58,1.45069,2.38939,1.73325,0.49337,0.51327,0.53006,0.2582,1.64759,1.95571,1.91095,0.000992029,0.000992029,0.000992029
8,5190.91,1.44334,2.32714,1.72167,0.59036,0.50947,0.56126,0.30197,1.53366,1.81482,1.80623,0.000989163,0.000989163,0.000989163
9,5882.87,1.41334,2.24717,1.69991,0.62871,0.53677,0.58591,0.30323,1.57167,1.80308,1.83265,0.000985862,0.000985862,0.000985862
10,6499.8,1.40352,2.1794,1.68998,0.59986,0.53568,0.59187,0.31674,1.5206,1.73824,1.8102,0.000982132,0.000982132,0.000982132
11,7130.9,1.38459,2.13576,1.67792,0.65248,0.56934,0.60956,0.33197,1.48485,1.66013,1.77529,0.000977975,0.000977975,0.000977975
12,7754.36,1.37125,2.0917,1.67165,0.60425,0.57652,0.6257,0.34573,1.49188,1.64077,1.78069,0.000973396,0.000973396,0.000973396
13,8386.9,1.35715,2.03459,1.65384,0.62578,0.5901,0.64923,0.3615,1.48719,1.5736,1.77385,0.000968399,0.000968399,0.000968399
14,9033.12,1.34967,1.98672,1.65239,0.63655,0.60462,0.6652,0.36477,1.48516,1.51249,1.76064,0.00096299,0.00096299,0.00096299
15,9704.28,1.34456,1.96877,1.64342,0.6886,0.61827,0.68579,0.39017,1.48961,1.50292,1.75881,0.000957172,0.000957172,0.000957172
16,10360.1,1.34269,1.92266,1.63827,0.68611,0.5964,0.66633,0.38127,1.44379,1.45695,1.73288,0.000950953,0.000950953,0.000950953
