epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.403,1.61675,3.34488,1.85304,0.28986,0.198,0.16074,0.06619,1.85647,2.86582,2.13411,0.0670209,0.000333122,0.000333122
2,705.219,1.59117,2.88485,1.83578,0.29475,0.40774,0.2832,0.1313,1.76701,2.58484,2.04576,0.0340208,0.000666307,0.000666307
3,1220.23,1.5474,2.71329,1.80323,0.37858,0.40647,0.36559,0.16884,1.78108,2.3561,2.02423,0.00102002,0.000998901,0.000998901
4,1497.85,1.51692,2.58725,1.7759,0.47082,0.45454,0.46866,0.22919,1.69637,2.08405,1.94678,0.000998003,0.000998003,0.000998003
5,1669.82,1.47654,2.45711,1.73823,0.5776,0.48006,0.52316,0.26919,1.64099,2.01015,1.87894,0.000996452,0.000996452,0.000996452
6,1850.21,1.4612,2.36346,1.72074,0.59749,0.53703,0.56749,0.29038,1.60171,1.85399,1.86886,0.00099446,0.00099446,0.00099446
7,2018,1.43039,2.28881,1.69568,0.55938,0.55913,0.60663,0.3289,1.55886,1.78877,1.80812,0.000992029,0.000992029,0.000992029
8,2188.48,1.41681,2.2325,1.68356,0.59185,0.56539,0.59661,0.30193,1.63147,1.80854,1.86401,0.000989163,0.000989163,0.000989163
9,2356.12,1.39668,2.16736,1.66623,0.57965,0.55527,0.59118,0.30695,1.60182,1.73045,1.85846,0.000985862,0.000985862,0.000985862
10,2525.66,1.3867,2.11898,1.66028,0.64044,0.57588,0.63591,0.33708,1.53767,1.63582,1.82401,0.000982132,0.000982132,0.000982132
11,2694.04,1.37051,2.07947,1.65134,0.70962,0.59752,0.66372,0.36373,1.52421,1.55975,1.77718,0.000977975,0.000977975,0.000977975
12,2864.1,1.36735,2.04745,1.6488,0.62623,0.58616,0.64483,0.35957,1.52041,1.5651,1.78373,0.000973396,0.000973396,0.000973396
13,3032.7,1.35147,1.99403,1.62975,0.73229,0.59135,0.68421,0.37575,1.48569,1.48754,1.75012,0.000968399,0.000968399,0.000968399
14,3242.33,1.34079,1.94914,1.62637,0.72763,0.60554,0.69059,0.39041,1.4614,1.46928,1.72981,0.00096299,0.00096299,0.00096299
15,3463.49,1.33483,1.93856,1.61878,0.73791,0.60845,0.69856,0.39204,1.4891,1.45336,1.74504,0.000957172,0.000957172,0.000957172
16,3683.25,1.33297,1.90723,1.61654,0.7176,0.63233,0.71077,0.39903,1.45567,1.41834,1.72617,0.000950953,0.000950953,0.000950953
17,3907.33,1.31208,1.87627,1.59861,0.72646,0.64313,0.71523,0.41077,1.44964,1.37898,1.7005,0.000944338,0.000944338,0.000944338
18,4131.98,1.30906,1.85057,1.59835,0.75104,0.62743,0.71229,0.40503,1.46862,1.3803,1.73491,0.000937334,0.000937334,0.000937334
19,4356.68,1.30641,1.83266,1.59546,0.72619,0.63555,0.6931,0.38723,1.48545,1.41106,1.74755,0.000929948,0.000929948,0.000929948
20,4580.52,1.29726,1.78033,1.58815,0.68367,0.65405,0.7072,0.40406,1.43186,1.37855,1.70819,0.000922186,0.000922186,0.000922186
21,4807.93,1.29342,1.78138,1.58304,0.73564,0.65069,0.72028,0.41565,1.43413,1.32931,1.72096,0.000914058,0.000914058,0.000914058
22,5032.51,1.27365,1.73167,1.57166,0.75001,0.65447,0.73992,0.42396,1.42102,1.30515,1.69672,0.00090557,0.00090557,0.00090557
23,5203.48,1.2761,1.72602,1.57071,0.76181,0.64489,0.72508,0.41357,1.43087,1.31346,1.71348,0.000896731,0.000896731,0.000896731
24,5374.05,1.26273,1.69092,1.55722,0.71924,0.69075,0.74212,0.42399,1.4201,1.27892,1.69345,0.00088755,0.00088755,0.00088755
25,5543.24,1.26957,1.69017,1.56146,0.73075,0.67905,0.74066,0.42698,1.42635,1.25344,1.71354,0.000878036,0.000878036,0.000878036
26,5712.33,1.25464,1.65004,1.55234,0.76156,0.67351,0.73781,0.4256,1.39379,1.25825,1.68316,0.000868198,0.000868198,0.000868198
27,5879.99,1.24584,1.63212,1.54831,0.71261,0.67824,0.73825,0.42919,1.3911,1.2562,1.68976,0.000858046,0.000858046,0.000858046
28,6047.03,1.24233,1.61716,1.54644,0.75255,0.69635,0.74964,0.42957,1.41197,1.23938,1.69117,0.00084759,0.00084759,0.00084759
29,6213.71,1.23321,1.58231,1.53391,0.74894,0.66917,0.74285,0.42806,1.42146,1.24066,1.71534,0.000836841,0.000836841,0.000836841
30,6381,1.22723,1.59343,1.53499,0.76588,0.67331,0.75395,0.43673,1.39749,1.21518,1.68773,0.000825808,0.000825808,0.000825808
31,6551.65,1.21867,1.57032,1.52896,0.7214,0.71056,0.74629,0.43473,1.40739,1.20196,1.69395,0.000814503,0.000814503,0.000814503
32,6720.01,1.21469,1.54656,1.51642,0.78805,0.67258,0.75339,0.43448,1.42457,1.21296,1.69962,0.000802938,0.000802938,0.000802938
33,6891.52,1.20686,1.51461,1.51394,0.76305,0.67125,0.75364,0.43983,1.42297,1.20644,1.70972,0.000791122,0.000791122,0.000791122
34,7079.22,1.20187,1.51507,1.50908,0.73697,0.71624,0.75542,0.43471,1.41499,1.181,1.69809,0.000779069,0.000779069,0.000779069
35,7252.66,1.19519,1.49594,1.50757,0.78938,0.67548,0.76453,0.44526,1.40147,1.16469,1.68847,0.000766789,0.000766789,0.000766789
36,7424.57,1.19597,1.47579,1.50537,0.7454,0.70825,0.76237,0.43763,1.40023,1.18968,1.69137,0.000754296,0.000754296,0.000754296
37,7599.61,1.18436,1.45585,1.49846,0.81469,0.65162,0.76295,0.44082,1.39606,1.20308,1.69283,0.000741601,0.000741601,0.000741601
38,7814.3,1.18067,1.44868,1.49294,0.75879,0.66964,0.75039,0.43713,1.40756,1.19737,1.70074,0.000728717,0.000728717,0.000728717
39,8048.23,1.17174,1.42734,1.48233,0.78385,0.66745,0.75211,0.44175,1.38991,1.19843,1.6967,0.000715656,0.000715656,0.000715656
40,8287.08,1.17421,1.42226,1.4869,0.75539,0.69528,0.75535,0.44771,1.38036,1.17148,1.6841,0.000702432,0.000702432,0.000702432
41,8525.08,1.17078,1.40877,1.48405,0.75103,0.70038,0.7667,0.44568,1.39385,1.16003,1.69055,0.000689058,0.000689058,0.000689058
42,8760.33,1.15419,1.37262,1.47107,0.78071,0.70199,0.76454,0.4419,1.41504,1.15118,1.71149,0.000675546,0.000675546,0.000675546
43,8995.9,1.14448,1.37551,1.46435,0.7765,0.69947,0.76848,0.45303,1.37704,1.13718,1.67418,0.00066191,0.00066191,0.00066191
44,9227.18,1.15027,1.36047,1.46489,0.748,0.72391,0.77347,0.45612,1.37793,1.14072,1.67821,0.000648164,0.000648164,0.000648164
45,9464.55,1.1316,1.33553,1.45528,0.77621,0.69752,0.76868,0.45412,1.38286,1.12671,1.68195,0.000634322,0.000634322,0.000634322
46,9698.74,1.13575,1.34378,1.4608,0.7825,0.69056,0.76485,0.44974,1.39885,1.15194,1.70327,0.000620396,0.000620396,0.000620396
47,9935.23,1.12522,1.30189,1.44709,0.72172,0.71841,0.76514,0.45101,1.39689,1.16088,1.70741,0.0006064,0.0006064,0.0006064
48,10174.1,1.11977,1.30014,1.44135,0.78425,0.6851,0.77432,0.45465,1.39406,1.12821,1.70243,0.000592349,0.000592349,0.000592349
