epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.878,1.85093,1.82149,1.44393,0.61695,0.4873,0.53344,0.32868,1.29567,1.45646,1.29342,0.0670236,0.000333095,0.000333095
2,493.585,1.7034,1.43798,1.33623,0.66334,0.53987,0.61716,0.38113,1.18612,1.24162,1.16144,0.0340234,0.00066628,0.00066628
3,732.779,1.66061,1.34234,1.30359,0.67445,0.59917,0.64262,0.41523,1.15117,1.06774,1.13572,0.0010227,0.000998874,0.000998874
4,994.378,1.61596,1.273,1.27357,0.74907,0.6256,0.70413,0.46765,1.07583,0.92546,1.09808,0.000998003,0.000998003,0.000998003
5,1161.87,1.59528,1.22744,1.25953,0.72923,0.65617,0.71214,0.47253,1.0749,0.93799,1.08732,0.000996452,0.000996452,0.000996452
6,1327.35,1.54907,1.17977,1.23266,0.78075,0.66166,0.73837,0.49311,1.04074,0.84282,1.07487,0.00099446,0.00099446,0.00099446
7,1495.19,1.53136,1.1464,1.22338,0.76518,0.65736,0.73168,0.4895,1.03084,0.82493,1.05445,0.000992029,0.000992029,0.000992029
8,1660.19,1.5164,1.11896,1.21094,0.78155,0.67663,0.76152,0.51671,1.0144,0.79978,1.05773,0.000989163,0.000989163,0.000989163
9,1824.81,1.50078,1.10313,1.20555,0.77401,0.67312,0.75666,0.514,1.01129,0.77911,1.05507,0.000985862,0.000985862,0.000985862
10,1984.9,1.49119,1.08651,1.19892,0.78626,0.69141,0.76763,0.52379,0.99721,0.76931,1.04269,0.000982132,0.000982132,0.000982132
11,2200.57,1.47483,1.05912,1.18999,0.78357,0.69388,0.76947,0.52948,0.99735,0.75316,1.0464,0.000977975,0.000977975,0.000977975
12,2465.21,1.46454,1.05113,1.18292,0.79622,0.70421,0.77781,0.53256,0.99293,0.74077,1.03418,0.000973396,0.000973396,0.000973396
13,2647.57,1.44978,1.03648,1.18123,0.80608,0.70204,0.7846,0.54021,0.96752,0.71052,1.0216,0.000968399,0.000968399,0.000968399
14,2817.96,1.45265,1.02796,1.17288,0.81876,0.7058,0.79705,0.55089,0.96719,0.69606,1.02384,0.00096299,0.00096299,0.00096299
15,2989.49,1.44415,1.02825,1.17287,0.80261,0.71522,0.78944,0.55023,0.95347,0.68838,1.02015,0.000957172,0.000957172,0.000957172
16,3159.62,1.43108,1.01588,1.16681,0.82321,0.71236,0.80268,0.55533,0.95664,0.69102,1.01023,0.000950953,0.000950953,0.000950953
17,3379.09,1.42101,1.00317,1.16067,0.82281,0.71789,0.80573,0.56196,0.94417,0.67828,1.00903,0.000944338,0.000944338,0.000944338
18,3553.85,1.42295,0.99715,1.16108,0.81289,0.72866,0.80434,0.56124,0.94154,0.67043,1.00374,0.000937334,0.000937334,0.000937334
19,3760.92,1.41216,0.9854,1.15547,0.82166,0.72723,0.81172,0.57474,0.91805,0.64155,0.99645,0.000929948,0.000929948,0.000929948
20,3985.09,1.41202,0.97611,1.15146,0.82656,0.72154,0.8063,0.56981,0.92846,0.64126,1.0009,0.000922186,0.000922186,0.000922186
21,4210.75,1.39425,0.97083,1.1474,0.83268,0.72818,0.81332,0.57178,0.92348,0.64057,0.99478,0.000914058,0.000914058,0.000914058
22,4447.93,1.39959,0.96622,1.14782,0.82734,0.72862,0.81605,0.5754,0.91777,0.63959,0.99412,0.00090557,0.00090557,0.00090557
23,4680.15,1.38853,0.96181,1.14347,0.83083,0.73121,0.81407,0.5728,0.92598,0.639,0.99249,0.000896731,0.000896731,0.000896731
24,4903.36,1.37607,0.94163,1.1377,0.82666,0.74024,0.82244,0.58627,0.90841,0.62379,0.99336,0.00088755,0.00088755,0.00088755
25,5127.52,1.3805,0.9495,1.13609,0.83819,0.73808,0.82463,0.58621,0.90122,0.60783,0.98711,0.000878036,0.000878036,0.000878036
26,5350.64,1.37978,0.94182,1.13272,0.83595,0.72905,0.8163,0.58019,0.90295,0.62057,0.98576,0.000868198,0.000868198,0.000868198
27,5590.12,1.36312,0.93055,1.12801,0.83217,0.74362,0.82254,0.58461,0.91135,0.62063,0.98716,0.000858046,0.000858046,0.000858046
28,5833.45,1.35568,0.92497,1.12916,0.83171,0.73845,0.82319,0.59112,0.88315,0.59875,0.97555,0.00084759,0.00084759,0.00084759
29,6074.14,1.35455,0.92028,1.12515,0.83829,0.74196,0.82607,0.59288,0.88721,0.59342,0.97825,0.000836841,0.000836841,0.000836841
30,6295.96,1.34813,0.90956,1.12008,0.8429,0.74496,0.8332,0.59672,0.88374,0.59047,0.97274,0.000825808,0.000825808,0.000825808
31,6528.13,1.34972,0.91112,1.11666,0.84264,0.74365,0.83079,0.59599,0.88156,0.58566,0.97538,0.000814503,0.000814503,0.000814503
32,6752.12,1.33116,0.89757,1.11317,0.84291,0.75116,0.83354,0.60034,0.87971,0.58436,0.97426,0.000802938,0.000802938,0.000802938
33,7003.33,1.31783,0.88658,1.10698,0.84077,0.75117,0.83243,0.59821,0.8787,0.58487,0.97255,0.000791122,0.000791122,0.000791122
34,7225.77,1.31954,0.88608,1.1083,0.83778,0.75464,0.83551,0.6012,0.87785,0.57552,0.96959,0.000779069,0.000779069,0.000779069
35,7465.27,1.31771,0.88096,1.10552,0.84349,0.75507,0.83551,0.5994,0.88895,0.5894,0.97242,0.000766789,0.000766789,0.000766789
36,7719.8,1.31416,0.87579,1.10044,0.84633,0.76024,0.84163,0.61143,0.86161,0.56229,0.95991,0.000754296,0.000754296,0.000754296
37,7964.19,1.30227,0.87262,1.1,0.85478,0.75042,0.84133,0.60768,0.86222,0.56202,0.95974,0.000741601,0.000741601,0.000741601
38,8164.46,1.29946,0.8697,1.09558,0.84086,0.75053,0.84154,0.60959,0.86045,0.56094,0.95806,0.000728717,0.000728717,0.000728717
39,8326,1.29462,0.86522,1.09667,0.84814,0.75867,0.84192,0.61064,0.8597,0.55897,0.96121,0.000715656,0.000715656,0.000715656
40,8487.32,1.29674,0.85586,1.0941,0.85223,0.7628,0.84558,0.61324,0.86194,0.55925,0.96381,0.000702432,0.000702432,0.000702432
41,8648.4,1.29674,0.8593,1.09292,0.8441,0.76117,0.84657,0.61383,0.85655,0.55978,0.95914,0.000689058,0.000689058,0.000689058
42,8811.28,1.28089,0.84569,1.08691,0.8497,0.76093,0.84506,0.61242,0.85583,0.55645,0.96002,0.000675546,0.000675546,0.000675546
43,8976.21,1.27726,0.84183,1.08396,0.8415,0.76751,0.84749,0.61355,0.8539,0.55036,0.95722,0.00066191,0.00066191,0.00066191
44,9143.21,1.28112,0.84038,1.08295,0.85251,0.76295,0.84893,0.61594,0.84911,0.54817,0.95337,0.000648164,0.000648164,0.000648164
45,9303.74,1.27486,0.83682,1.08326,0.8552,0.76316,0.85068,0.61711,0.85594,0.5472,0.95591,0.000634322,0.000634322,0.000634322
46,9518.51,1.26082,0.82392,1.07809,0.85685,0.76155,0.85003,0.61823,0.85039,0.54544,0.95447,0.000620396,0.000620396,0.000620396
47,9719.98,1.26161,0.82422,1.07866,0.85618,0.7659,0.85133,0.6185,0.84817,0.54061,0.95455,0.0006064,0.0006064,0.0006064
48,9882.23,1.2593,0.82088,1.0773,0.84491,0.77062,0.84868,0.61589,0.85321,0.54814,0.95621,0.000592349,0.000592349,0.000592349
49,10095.9,1.25698,0.81421,1.07549,0.85595,0.76618,0.85219,0.61955,0.84458,0.53895,0.95115,0.000578256,0.000578256,0.000578256
50,10324.6,1.25369,0.81918,1.0777,0.85377,0.77481,0.85379,0.62216,0.84187,0.53667,0.94837,0.000564135,0.000564135,0.000564135
51,10552.4,1.24551,0.8141,1.07461,0.85485,0.7741,0.85493,0.62313,0.84238,0.53639,0.95044,0.00055,0.00055,0.00055
52,10792.6,1.24438,0.81062,1.07207,0.85428,0.77193,0.854,0.62257,0.84249,0.53593,0.95331,0.000535865,0.000535865,0.000535865
53,11047.4,1.24158,0.80495,1.07143,0.86063,0.76849,0.85505,0.62405,0.84072,0.53532,0.95137,0.000521744,0.000521744,0.000521744
54,11284.1,1.23847,0.80103,1.06811,0.8569,0.77333,0.8547,0.624,0.8374,0.53277,0.94863,0.000507651,0.000507651,0.000507651
55,11504.6,1.23026,0.79681,1.06471,0.85045,0.77807,0.85454,0.62203,0.84101,0.53216,0.94748,0.0004936,0.0004936,0.0004936
56,11729.6,1.23018,0.79725,1.06509,0.85696,0.77542,0.85692,0.62482,0.83756,0.53082,0.94639,0.000479604,0.000479604,0.000479604
57,11952.3,1.22684,0.79139,1.06238,0.85624,0.77902,0.85816,0.62813,0.83319,0.52529,0.94637,0.000465678,0.000465678,0.000465678
58,12177.8,1.22007,0.7838,1.06165,0.86446,0.77094,0.85817,0.6284,0.83261,0.52447,0.94643,0.000451836,0.000451836,0.000451836
59,12396.8,1.22646,0.78694,1.05912,0.85606,0.78123,0.85789,0.62861,0.83064,0.52319,0.94523,0.00043809,0.00043809,0.00043809
60,12616.3,1.22083,0.78158,1.06008,0.85106,0.78551,0.85933,0.62843,0.83219,0.52427,0.94583,0.000424454,0.000424454,0.000424454
61,12839.8,1.22189,0.78537,1.0607,0.85907,0.77979,0.85877,0.62752,0.83297,0.52445,0.94572,0.000410942,0.000410942,0.000410942
62,13064.2,1.2104,0.77206,1.0561,0.85901,0.78085,0.8597,0.6285,0.83087,0.52485,0.9449,0.000397568,0.000397568,0.000397568
63,13285.7,1.21772,0.77368,1.05469,0.85736,0.78458,0.86032,0.62871,0.83063,0.52324,0.94462,0.000384344,0.000384344,0.000384344
64,13505.1,1.20768,0.77097,1.05273,0.8605,0.77917,0.85994,0.63014,0.82944,0.52043,0.94372,0.000371283,0.000371283,0.000371283
65,13725.6,1.20333,0.7725,1.05499,0.85988,0.78079,0.86054,0.63034,0.82911,0.51857,0.944,0.000358399,0.000358399,0.000358399
66,13943.7,1.19893,0.76196,1.05058,0.86229,0.78333,0.86068,0.63046,0.82859,0.51816,0.94404,0.000345704,0.000345704,0.000345704
67,14165.2,1.20177,0.76381,1.05387,0.85886,0.78433,0.8612,0.63167,0.82728,0.51839,0.94343,0.000333211,0.000333211,0.000333211
68,14384.7,1.20273,0.76339,1.05073,0.86149,0.78258,0.86127,0.63168,0.82751,0.51792,0.94346,0.000320931,0.000320931,0.000320931
69,14605.6,1.19561,0.75813,1.05085,0.8584,0.78302,0.86146,0.63169,0.82805,0.51879,0.94282,0.000308878,0.000308878,0.000308878
70,14825.6,1.18844,0.75604,1.04811,0.86352,0.78,0.86191,0.6317,0.82885,0.51965,0.94286,0.000297062,0.000297062,0.000297062
71,15075.7,1.18645,0.7532,1.04328,0.85961,0.78464,0.86193,0.63261,0.82713,0.51905,0.94181,0.000285497,0.000285497,0.000285497
72,15329.7,1.19786,0.75955,1.04935,0.8643,0.78178,0.86152,0.63233,0.82723,0.51842,0.94143,0.000274192,0.000274192,0.000274192
73,15553.7,1.18841,0.75274,1.04734,0.8632,0.78436,0.86133,0.63188,0.82698,0.51712,0.94107,0.000263159,0.000263159,0.000263159
74,15774.7,1.17917,0.74121,1.04121,0.86226,0.7816,0.86083,0.63152,0.82709,0.51726,0.94089,0.00025241,0.00025241,0.00025241
75,16026.7,1.18299,0.74774,1.04317,0.85867,0.78637,0.86092,0.63171,0.82576,0.51663,0.94009,0.000241954,0.000241954,0.000241954
76,16251.4,1.18285,0.74695,1.04362,0.85811,0.78654,0.86064,0.63179,0.82493,0.51578,0.93931,0.000231802,0.000231802,0.000231802
77,16477.1,1.18366,0.74534,1.04431,0.85951,0.78582,0.86138,0.63192,0.82594,0.51613,0.93961,0.000221964,0.000221964,0.000221964
78,16699.1,1.17602,0.7421,1.04032,0.86019,0.78429,0.86129,0.6315,0.82747,0.51662,0.94025,0.00021245,0.00021245,0.00021245
79,16921.3,1.17329,0.74203,1.03833,0.85954,0.78452,0.86144,0.63204,0.82705,0.51598,0.94097,0.000203269,0.000203269,0.000203269
80,17172.1,1.16921,0.73694,1.04163,0.86065,0.78463,0.86203,0.63235,0.82563,0.5158,0.94032,0.00019443,0.00019443,0.00019443
81,17384.6,1.16874,0.73527,1.04077,0.86178,0.78316,0.86171,0.63241,0.82478,0.51523,0.93985,0.000185942,0.000185942,0.000185942
82,17598,1.16781,0.7312,1.03756,0.86044,0.78464,0.86167,0.63249,0.82471,0.51524,0.94101,0.000177814,0.000177814,0.000177814
83,17814.1,1.17332,0.73393,1.03861,0.86248,0.78398,0.86196,0.63275,0.82431,0.51508,0.94079,0.000170052,0.000170052,0.000170052
84,17994.2,1.16514,0.73079,1.03548,0.86216,0.78382,0.86221,0.63248,0.8239,0.51509,0.93971,0.000162666,0.000162666,0.000162666
85,18220.6,1.16347,0.72852,1.03777,0.86357,0.78215,0.86226,0.633,0.82391,0.5146,0.93983,0.000155662,0.000155662,0.000155662
86,18438.5,1.1616,0.72453,1.0371,0.86202,0.78408,0.86254,0.63328,0.82342,0.51462,0.93907,0.000149047,0.000149047,0.000149047
87,18646.4,1.15981,0.72746,1.03249,0.86161,0.7844,0.86234,0.63342,0.82299,0.51483,0.9381,0.000142828,0.000142828,0.000142828
88,18851.7,1.15661,0.72373,1.03106,0.86347,0.78367,0.86251,0.63332,0.82281,0.5143,0.93785,0.00013701,0.00013701,0.00013701
89,19056.2,1.15426,0.72055,1.03424,0.86077,0.78647,0.86242,0.63341,0.8226,0.51386,0.93765,0.000131601,0.000131601,0.000131601
90,19262.4,1.15818,0.72287,1.03483,0.8622,0.78542,0.86285,0.63363,0.82238,0.51408,0.93727,0.000126604,0.000126604,0.000126604
91,19514.9,1.16024,0.68349,1.02299,0.86257,0.78501,0.86323,0.63382,0.82187,0.51396,0.93704,0.000122025,0.000122025,0.000122025
92,19756,1.14498,0.67545,1.01731,0.86232,0.78547,0.8631,0.63414,0.82161,0.51348,0.93664,0.000117868,0.000117868,0.000117868
93,19997.7,1.14721,0.67187,1.01907,0.8628,0.78496,0.86286,0.63441,0.82126,0.51315,0.93634,0.000114138,0.000114138,0.000114138
94,20201,1.14441,0.6711,1.01741,0.86201,0.78453,0.86301,0.63426,0.82147,0.51352,0.93636,0.000110837,0.000110837,0.000110837
95,20390.8,1.13799,0.66595,1.01481,0.86472,0.78291,0.86344,0.63451,0.82146,0.51351,0.93624,0.000107971,0.000107971,0.000107971
96,20604.3,1.13716,0.66472,1.01324,0.86538,0.78185,0.86362,0.63432,0.82158,0.51367,0.9361,0.00010554,0.00010554,0.00010554
97,20802.5,1.13378,0.66055,1.01515,0.86359,0.78475,0.86348,0.6341,0.82182,0.51372,0.93605,0.000103548,0.000103548,0.000103548
98,21013.4,1.13158,0.65816,1.00977,0.86253,0.78476,0.86319,0.63384,0.82183,0.51384,0.93607,0.000101997,0.000101997,0.000101997
99,21199.3,1.12919,0.65555,1.01036,0.86204,0.78543,0.86313,0.63381,0.82198,0.51412,0.93648,0.000100888,0.000100888,0.000100888
100,21371.1,1.12176,0.65014,1.00814,0.86186,0.785,0.86307,0.63394,0.82215,0.51419,0.9366,0.000100222,0.000100222,0.000100222
