epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,475.348,1.83136,1.74714,1.5696,0.40109,0.38894,0.36268,0.16757,1.55311,1.55404,1.60373,0.0670111,0.000333221,0.000333221
2,961.262,1.67465,1.49287,1.44567,0.63403,0.55582,0.60225,0.30875,1.37862,1.15378,1.38513,0.0340109,0.000666407,0.000666407
3,1378.43,1.60322,1.39896,1.38695,0.69171,0.57555,0.63941,0.35678,1.25392,1.03762,1.30549,0.0010102,0.000999,0.000999
4,1879.78,1.56077,1.35039,1.36447,0.65408,0.60501,0.6578,0.36882,1.21241,1.03185,1.27155,0.000998003,0.000998003,0.000998003
5,2402.05,1.54127,1.32563,1.35161,0.74845,0.59711,0.69286,0.39217,1.18306,0.9697,1.25966,0.000996452,0.000996452,0.000996452
6,2834.58,1.52353,1.30416,1.34428,0.6996,0.62988,0.69352,0.39513,1.17337,0.94595,1.25434,0.00099446,0.00099446,0.00099446
7,3335.49,1.50772,1.28876,1.33914,0.72927,0.63576,0.70566,0.40895,1.15973,0.92194,1.24586,0.000992029,0.000992029,0.000992029
8,3853.82,1.48921,1.26728,1.32088,0.68233,0.6478,0.70569,0.40125,1.15662,0.91097,1.2455,0.000989163,0.000989163,0.000989163
9,4325.45,1.47526,1.2533,1.31595,0.7395,0.60495,0.69732,0.40958,1.1395,0.89879,1.22854,0.000985862,0.000985862,0.000985862
10,4796.34,1.46554,1.2398,1.30955,0.71172,0.64789,0.71596,0.41907,1.12214,0.88196,1.21986,0.000982132,0.000982132,0.000982132
11,5250.39,1.46064,1.22574,1.30355,0.73842,0.66276,0.74134,0.43305,1.12271,0.8493,1.22055,0.000977975,0.000977975,0.000977975
12,5713.17,1.45102,1.21874,1.30071,0.74285,0.63244,0.71427,0.41315,1.12268,0.86012,1.22387,0.000973396,0.000973396,0.000973396
13,6159.94,1.44913,1.21255,1.29972,0.74991,0.66236,0.74209,0.44858,1.09265,0.82535,1.20635,0.000968399,0.000968399,0.000968399
14,6618.53,1.43779,1.20192,1.29359,0.76647,0.66094,0.75284,0.44737,1.08994,0.81939,1.19894,0.00096299,0.00096299,0.00096299
15,7106.66,1.4324,1.19067,1.28849,0.74367,0.66237,0.74256,0.43977,1.09203,0.82233,1.20263,0.000957172,0.000957172,0.000957172
16,7572.03,1.42674,1.17872,1.28817,0.73848,0.69759,0.75582,0.45146,1.08172,0.80855,1.19796,0.000950953,0.000950953,0.000950953
17,8033.88,1.41328,1.16723,1.28257,0.76171,0.68853,0.75725,0.45514,1.08218,0.79451,1.19993,0.000944338,0.000944338,0.000944338
18,8526.7,1.41303,1.16421,1.27816,0.75826,0.66831,0.7552,0.45484,1.07768,0.79238,1.19315,0.000937334,0.000937334,0.000937334
19,9023.95,1.40798,1.15444,1.27601,0.79008,0.66318,0.76316,0.4596,1.07071,0.78519,1.1853,0.000929948,0.000929948,0.000929948
20,9518.57,1.40815,1.15081,1.27151,0.77651,0.67736,0.7678,0.46777,1.07366,0.77786,1.19377,0.000922186,0.000922186,0.000922186
21,10087.2,1.40103,1.14237,1.26781,0.75506,0.69668,0.76246,0.46047,1.06747,0.76913,1.18474,0.000914058,0.000914058,0.000914058
22,10651.6,1.38808,1.13785,1.26845,0.76368,0.69808,0.7708,0.46883,1.06386,0.76783,1.1847,0.00090557,0.00090557,0.00090557
23,11116.4,1.38709,1.13017,1.26185,0.77018,0.68271,0.76124,0.46834,1.06093,0.77259,1.18176,0.000896731,0.000896731,0.000896731
