epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.321,0.43467,1.01399,0.87105,0.53133,0.51364,0.5582,0.5327,0.33256,0.92055,0.80678,0.0670111,0.000333221,0.000333221
2,923.3,0.42776,0.99528,0.87047,0.51458,0.57278,0.59077,0.56672,0.32234,0.79788,0.79658,0.0340109,0.000666407,0.000666407
3,1302.81,0.42733,0.97249,0.86849,0.63528,0.61676,0.64106,0.61607,0.31972,0.75384,0.7971,0.0010102,0.000999,0.000999
4,1691.22,0.41791,0.9432,0.86582,0.72589,0.65066,0.72423,0.69791,0.30205,0.63374,0.79438,0.000998003,0.000998003,0.000998003
5,2162.94,0.40826,0.91253,0.86446,0.68933,0.65899,0.73589,0.71208,0.29411,0.6018,0.79169,0.000996452,0.000996452,0.000996452
6,2563.27,0.39836,0.8903,0.86237,0.69858,0.65935,0.73524,0.71215,0.28886,0.57814,0.78523,0.00099446,0.00099446,0.00099446
7,2901.08,0.39418,0.86969,0.86174,0.72646,0.70828,0.77368,0.74982,0.28449,0.55055,0.78485,0.000992029,0.000992029,0.000992029
8,3223.73,0.38688,0.84451,0.85772,0.7454,0.71092,0.78078,0.757,0.27688,0.54274,0.78437,0.000989163,0.000989163,0.000989163
9,3540.99,0.38437,0.82539,0.85804,0.80737,0.71751,0.80019,0.77818,0.27556,0.50428,0.78163,0.000985862,0.000985862,0.000985862
10,3857.67,0.38026,0.80714,0.85573,0.77726,0.72084,0.79817,0.77608,0.27354,0.48973,0.78068,0.000982132,0.000982132,0.000982132
11,4174.64,0.37724,0.79571,0.85556,0.75692,0.73677,0.80496,0.78333,0.27173,0.48009,0.78203,0.000977975,0.000977975,0.000977975
12,4491.3,0.37214,0.78001,0.85476,0.78323,0.74109,0.81569,0.79475,0.26616,0.45571,0.78006,0.000973396,0.000973396,0.000973396
13,4808.48,0.37066,0.77552,0.85464,0.83108,0.74238,0.83332,0.80964,0.26807,0.44405,0.77825,0.000968399,0.000968399,0.000968399
14,5135.49,0.36754,0.76104,0.85243,0.76128,0.76803,0.82593,0.80364,0.2681,0.45311,0.77939,0.00096299,0.00096299,0.00096299
15,5466.02,0.36382,0.74674,0.85134,0.81913,0.73803,0.83156,0.8096,0.26326,0.43687,0.77671,0.000957172,0.000957172,0.000957172
16,5790.69,0.36127,0.73349,0.85097,0.83681,0.74695,0.84204,0.82084,0.26145,0.4214,0.77624,0.000950953,0.000950953,0.000950953
17,6111.22,0.3597,0.73261,0.85082,0.81866,0.75338,0.84114,0.82016,0.25781,0.41787,0.77566,0.000944338,0.000944338,0.000944338
18,6436.07,0.35658,0.71806,0.85042,0.83529,0.74856,0.84615,0.82472,0.25528,0.41273,0.77438,0.000937334,0.000937334,0.000937334
19,6786.43,0.35531,0.70915,0.84995,0.82344,0.76243,0.85124,0.83055,0.25583,0.40319,0.77533,0.000929948,0.000929948,0.000929948
20,7113.11,0.35694,0.7044,0.84903,0.85204,0.74087,0.85202,0.83095,0.25032,0.39855,0.77354,0.000922186,0.000922186,0.000922186
